"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2013-10-15";12.28;41.1;55.26;41.54;27.9;31.02;52.57;64.19;167.51;69.24
"2013-10-16";12.27;41.31;56.28;41.52;28.02;31.46;53.11;64.39;169.57;69.31
"2013-10-17";12.35;41.19;55.86;41.52;28.07;32.09;54.26;64.35;171.33;69.65
"2013-10-18";11.6;41.23;56.75;42.29;28.02;32.27;54.29;65.66;174.55;70.82
"2013-10-21";10.68;41.61;57.52;41.63;28.09;32.12;54.29;66.19;176.45;70.72
"2013-10-22";11.1;42.02;59.09;42.03;28.37;32.64;55.21;66.15;176.29;72.37
"2013-10-23";10.9;40.41;58.86;41.64;28.37;32.32;55.51;65.86;175.81;71.09
"2013-10-24";10.9;38.1;59.54;42.07;28.54;32.34;55.38;66.54;176.35;71.22
"2013-10-25";10.74;38.08;59.6;42.38;29.02;32.85;55.93;67.25;179.57;71.53
"2013-10-28";10.73;38.66;59.71;42.19;28.56;32.66;55.79;67.08;179.45;71.12
"2013-10-29";10.39;39.07;59.92;42.29;29.02;32.83;55.94;67.74;181.32;71.51
"2013-10-30";9.94;38.24;59.69;42.27;28.72;32.71;55.76;67.66;180.04;71.27
"2013-10-31";10.02;39;59.38;42.1;28.44;32.82;55.51;67.87;176.99;71.45
"2013-11-01";10.02;39.06;59.6;41.36;28.21;33.12;55.92;68.62;172.78;71.61
"2013-11-04";10.75;38.96;59.94;41.91;28.45;33.46;56.04;69.1;173.6;73.33
"2013-11-05";10.72;38.63;59.71;41.34;28.3;34.25;55.35;68.6;175.76;71.77
"2013-11-06";10.31;39.07;60.42;42.39;28.31;34.22;55.62;68.86;176.35;72.32
"2013-11-07";10.04;38.76;59.85;41.52;27.84;33.6;54.03;67.56;170.42;71.11
"2013-11-08";10.31;39.59;60.72;41.86;28.1;33.61;53.58;68.16;174.05;71.81
"2013-11-11";10.29;40.23;60.95;41.84;28.11;33.46;53.82;68.33;172.15;71.67
"2013-11-12";10.17;40.27;61.36;40.71;28.11;32.67;52.7;68.45;171.51;71.4
"2013-11-13";10.22;40.44;62.22;41.04;28.2;30.77;53.08;69.37;176.18;71.92
"2013-11-14";10.13;40.61;62.96;41.38;28.2;30.64;53.72;69.52;176.54;71.92
"2013-11-15";10.05;41.28;63.4;41.6;28.52;30.32;53.99;69.51;176.17;72.32
"2013-11-18";9.6;41.2;63.62;41.43;28.52;30.02;54;69.5;177.06;71.72
"2013-11-19";9.55;39.77;63.33;41.3;28.48;29.55;53.85;69.22;177.25;71.49
"2013-11-20";10.29;39.92;62.73;40.77;28.33;29.75;53.26;69.14;177.6;71.46
"2013-11-21";9.94;40.2;63.42;40.76;28.62;29.83;53.29;69.88;181.21;72.03
