"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM";"GSPC"
"2014-04-17";73,28884;85,19135;124,13876;99,75975;22,53138;119,31017;65,21606;78,98608;25,64273;155,43382;75,50555;183,83234;26,08195;96,30903;53,76416;39,52037;96,89132;134,5157;54,78089;38,95839;73,15177;28,968;78,65999;84,79134;74,57452;116,05257;51,59741;45,51322;75,32041;97,60808;19,5924
"2014-04-21";74,15863;85,63599;124,04172;99,57542;22,71583;119,85038;65,26474;78,11713;25,67169;155,78925;76,35767;186,01888;25,99514;97,32117;53,57917;39,54948;96,33075;135,38493;55,53756;38,89023;73,02332;29,55215;78,46757;84,51744;73,75772;115,7883;51,8902;45,87656;75,26221;98,1038;19,5547
"2014-04-22";74,23262;86,03121;123,7797;100,59407;22,83232;119,61886;65,57632;78,45287;25,66204;158,41534;78,03252;185,90277;25,88904;97,49635;54,33861;39,51066;95,99248;135,64864;56,042;38,93892;73,46797;29,68621;78,16933;84,99677;74,55484;116,6594;52,09862;45,81919;75,22342;97,55948;19,3854
"2014-04-23";73,26231;86,09049;126,76866;100,29332;22,81291;120,28448;65,56657;78,52198;25,50756;158,40547;76,90616;185,49643;25,80223;97,53528;54,57228;39,53007;95,80884;134,76964;55,78008;38,6468;73,22094;29,60961;77,93076;86,20974;74,13168;117,10963;51,81328;45,35068;75,68896;97,68584;19,4928
"2014-04-24";79,26849;86,36716;126,02142;102,1366;22,64788;119,90826;65,34264;78,5911;25,54618;158,80038;78,13046;184,03552;25,80223;97,28224;54,70859;39,50095;96,49505;133,46091;55,80918;38,81234;72,51936;29,4085;78,69688;86,65972;75,37164;116,45387;51,95719;44,25109;75,95082;97,20956;19,3976
"2014-04-25";79,85068;85,99169;124,8569;101,56421;22,32752;119,60921;64,9045;77,24818;25,68135;156,22363;77,74848;183,46471;25,32959;97,1168;54,23151;39,80182;97,35524;133,373;55,52786;38,86102;71,83755;29,44681;78,94902;86,38582;74,45644;114,72144;49,35933;43,926;76,25149;97,59837;19,3976
"2014-04-28";82,94313;86,02133;123,28477;101,14705;22,34694;121,28773;65,01159;76,80383;25,85513;154,54529;78,52225;186,86058;25,39711;98,62527;54,02705;39,82123;96,9493;134,02737;54,98461;39,79579;70,81976;30,68214;80,43277;87,68684;74,53516;115,20103;49,97716;44,55706;77,35715;98,33707;19,4833
"2014-04-29";82,6974;86,74262;124,57545;102,156;22,48285;121,51926;65,4108;77,65303;25,83582;156,22363;77,8856;188,76654;25,5418;98,32358;54,62096;39,37478;98,09944;134,3399;56,96359;39,44525;71,62016;30,41401;79,94788;88,91939;74,00375;115,064;50,28731;44,71961;77,26985;98,60924;19,3881
"2014-04-30";82,38467;86,38692;125,20625;102,25301;22,43431;121,08515;65,5471;78,34424;25,96133;157,78351;77,87582;190,08232;25,74436;98,57661;54,50412;39,5883;97,98346;135,84396;56,80838;39,33815;72,08458;29,95435;80,05457;88,60636;73,8463;115,81766;50,27243;44,68137;77,30865;99,54236;19,749
"2014-05-01";82,57873;85,78419;124,66281;101,93286;22,33723;120,52565;65,00185;78,56149;25,84548;158,32649;77,69952;187,2379;25,51286;97,83698;54,25098;39,57859;97,57753;137,52382;57,83667;38,94866;72,05494;29,82986;79,85091;88,85091;73,75772;114,32014;51,13589;45,14989;77,29895;98,57036;19,9214
